Entity,Code,Year,Deaths - Opioid use disorders - Sex: Both - Age: All Ages (Number),Deaths - Cocaine use disorders - Sex: Both - Age: All Ages (Number),Deaths - Other drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Amphetamine use disorders - Sex: Both - Age: All Ages (Number)
Democratic Republic of Congo,COD,1995,52,4,23,1
Democratic Republic of Congo,COD,1996,55,4,24,2
Democratic Republic of Congo,COD,1997,54,4,24,1
Democratic Republic of Congo,COD,1998,56,4,25,2
Democratic Republic of Congo,COD,1999,58,4,25,2
Democratic Republic of Congo,COD,2000,60,4,25,2
Democratic Republic of Congo,COD,2001,62,4,25,2
Democratic Republic of Congo,COD,2002,63,4,24,2
Democratic Republic of Congo,COD,2003,67,4,24,2
Democratic Republic of Congo,COD,2004,68,4,24,2
Democratic Republic of Congo,COD,2005,70,5,24,2
Democratic Republic of Congo,COD,2006,72,5,24,2
Democratic Republic of Congo,COD,2007,74,5,24,2
Democratic Republic of Congo,COD,2008,78,5,25,2
Democratic Republic of Congo,COD,2009,82,5,26,2
Democratic Republic of Congo,COD,2010,86,6,27,3
Democratic Republic of Congo,COD,2011,92,6,29,3
Democratic Republic of Congo,COD,2012,97,7,31,3
Democratic Republic of Congo,COD,2013,104,7,34,3
Democratic Republic of Congo,COD,2014,111,8,36,4
Democratic Republic of Congo,COD,2015,117,9,39,4
Democratic Republic of Congo,COD,2016,124,9,41,4
Democratic Republic of Congo,COD,2017,132,10,44,5
Democratic Republic of Congo,COD,2018,141,11,48,5
Democratic Republic of Congo,COD,2019,149,12,51,6
Denmark,DNK,1990,110,7,34,10
Denmark,DNK,1991,117,7,35,11
Denmark,DNK,1992,125,8,37,12
Denmark,DNK,1993,134,8,40,12
Denmark,DNK,1994,141,9,42,13
Denmark,DNK,1995,143,9,41,13
Denmark,DNK,1996,136,9,41,13
Denmark,DNK,1997,139,9,41,12
Denmark,DNK,1998,139,9,39,12
Denmark,DNK,1999,141,9,40,12
Denmark,DNK,2000,139,8,37,11
Denmark,DNK,2001,139,8,35,11
Denmark,DNK,2002,136,8,34,11
Denmark,DNK,2003,136,8,32,11
Denmark,DNK,2004,137,8,33,11
Denmark,DNK,2005,143,9,33,11
Denmark,DNK,2006,147,9,35,12
Denmark,DNK,2007,150,9,36,13
Denmark,DNK,2008,158,10,37,13
Denmark,DNK,2009,163,10,38,14
Denmark,DNK,2010,160,9,37,13
Denmark,DNK,2011,159,9,36,12
Denmark,DNK,2012,151,8,34,12
Denmark,DNK,2013,149,8,32,11
Denmark,DNK,2014,146,8,32,11
Denmark,DNK,2015,143,8,31,11
Denmark,DNK,2016,144,8,31,11
Denmark,DNK,2017,144,8,32,11
Denmark,DNK,2018,145,8,32,11
Denmark,DNK,2019,146,8,32,12
Djibouti,DJI,1990,0,0,0,0
Djibouti,DJI,1991,0,0,0,0
Djibouti,DJI,1992,0,0,0,0
Djibouti,DJI,1993,0,0,0,0
Djibouti,DJI,1994,0,0,0,0
Djibouti,DJI,1995,0,0,0,0
Djibouti,DJI,1996,0,0,0,0
Djibouti,DJI,1997,0,0,0,0
Djibouti,DJI,1998,1,0,0,0
Djibouti,DJI,1999,1,0,0,0
Djibouti,DJI,2000,1,0,0,0
Djibouti,DJI,2001,1,0,0,0
Djibouti,DJI,2002,1,0,0,0
Djibouti,DJI,2003,1,0,0,0
Djibouti,DJI,2004,1,0,0,0
Djibouti,DJI,2005,1,0,0,0
Djibouti,DJI,2006,1,0,0,0
Djibouti,DJI,2007,1,0,0,0
Djibouti,DJI,2008,1,0,0,0
Djibouti,DJI,2009,1,0,0,0
Djibouti,DJI,2010,1,0,0,0
Djibouti,DJI,2011,1,0,0,0
Djibouti,DJI,2012,1,0,0,0
Djibouti,DJI,2013,1,0,0,0
Djibouti,DJI,2014,1,0,0,0
Djibouti,DJI,2015,2,0,0,0
Djibouti,DJI,2016,2,0,1,0
Djibouti,DJI,2017,2,0,1,0
Djibouti,DJI,2018,2,0,1,0
Djibouti,DJI,2019,2,0,1,0
Dominica,DMA,1990,0,0,0,0
Dominica,DMA,1991,0,0,0,0
Dominica,DMA,1992,0,0,0,0
Dominica,DMA,1993,0,0,0,0
Dominica,DMA,1994,0,0,0,0
Dominica,DMA,1995,0,0,0,0
Dominica,DMA,1996,0,0,0,0
Dominica,DMA,1997,0,0,0,0
Dominica,DMA,1998,0,0,0,0
Dominica,DMA,1999,0,0,0,0
Dominica,DMA,2000,0,0,0,0
Dominica,DMA,2001,0,0,0,0
Dominica,DMA,2002,0,0,0,0
Dominica,DMA,2003,0,0,0,0
Dominica,DMA,2004,0,0,0,0
Dominica,DMA,2005,0,0,0,0
Dominica,DMA,2006,0,0,0,0
Dominica,DMA,2007,0,0,0,0
Dominica,DMA,2008,0,0,0,0
Dominica,DMA,2009,0,0,0,0
Dominica,DMA,2010,0,0,0,0
Dominica,DMA,2011,0,0,0,0
Dominica,DMA,2012,0,0,0,0
Dominica,DMA,2013,0,0,0,0
Dominica,DMA,2014,0,0,0,0
Dominica,DMA,2015,0,0,0,0
Dominica,DMA,2016,0,0,0,0
Dominica,DMA,2017,0,0,0,0
Dominica,DMA,2018,0,0,0,0
Dominica,DMA,2019,0,0,0,0
Dominican Republic,DOM,1990,4,2,3,0
Dominican Republic,DOM,1991,4,2,3,0
Dominican Republic,DOM,1992,4,2,4,0
Dominican Republic,DOM,1993,5,2,4,0
Dominican Republic,DOM,1994,5,2,4,0
Dominican Republic,DOM,1995,5,2,5,0
Dominican Republic,DOM,1996,5,2,5,0
Dominican Republic,DOM,1997,5,2,5,0
Dominican Republic,DOM,1998,5,2,6,0
Dominican Republic,DOM,1999,5,2,6,0
Dominican Republic,DOM,2000,5,1,6,0
Dominican Republic,DOM,2001,6,2,6,0
Dominican Republic,DOM,2002,6,2,6,0
Dominican Republic,DOM,2003,6,2,6,1
Dominican Republic,DOM,2004,6,2,7,1
Dominican Republic,DOM,2005,7,3,8,1
Dominican Republic,DOM,2006,7,3,8,1
Dominican Republic,DOM,2007,7,4,8,1
Dominican Republic,DOM,2008,7,4,9,1
Dominican Republic,DOM,2009,8,4,9,1
Dominican Republic,DOM,2010,8,5,9,1
Dominican Republic,DOM,2011,8,5,9,1
Dominican Republic,DOM,2012,9,6,10,2
Dominican Republic,DOM,2013,11,8,11,2
Dominican Republic,DOM,2014,12,9,13,2
Dominican Republic,DOM,2015,13,10,14,3
Dominican Republic,DOM,2016,15,12,15,3
Dominican Republic,DOM,2017,16,13,16,3
Dominican Republic,DOM,2018,17,13,17,4
Dominican Republic,DOM,2019,18,14,18,4
East Asia,,1990,15132,487,6413,5552
East Asia,,1991,17146,574,7227,6353
East Asia,,1992,18526,642,7700,6908
East Asia,,1993,19443,692,7973,7251
East Asia,,1994,20604,756,8445,7866
East Asia,,1995,21380,801,8739,8233
East Asia,,1996,21507,817,8789,8226
East Asia,,1997,20855,804,8546,7914
East Asia,,1998,20779,816,8534,7876
East Asia,,1999,19893,794,8174,7456
East Asia,,2000,19212,790,8007,7187
East Asia,,2001,16790,693,7013,6178
East Asia,,2002,13971,568,5831,4955
East Asia,,2003,10750,429,4480,3682
East Asia,,2004,8600,339,3672,2921
East Asia,,2005,7542,298,3220,2482
East Asia,,2006,6748,268,2908,2193
East Asia,,2007,6264,245,2740,2017
East Asia,,2008,5998,241,2673,1916
East Asia,,2009,5785,236,2639,1859
East Asia,,2010,5642,236,2663,1843
East Asia,,2011,5491,233,2617,1797
East Asia,,2012,5277,229,2533,1724
East Asia,,2013,5179,232,2498,1695
East Asia,,2014,5158,240,2530,1710
East Asia,,2015,5102,243,2515,1703
East Asia,,2016,5142,255,2560,1741
East Asia,,2017,5374,281,2748,1866
East Asia,,2018,5973,313,3031,2068
East Asia,,2019,6447,342,3271,2241
East Asia & Pacific - World Bank region,,1990,16578,581,6864,5677
East Asia & Pacific - World Bank region,,1991,18655,674,7707,6488
East Asia & Pacific - World Bank region,,1992,20131,749,8204,7053
East Asia & Pacific - World Bank region,,1993,21143,808,8506,7411
East Asia & Pacific - World Bank region,,1994,22435,883,9017,8045
East Asia & Pacific - World Bank region,,1995,23385,943,9362,8439
East Asia & Pacific - World Bank region,,1996,23636,974,9455,8458
East Asia & Pacific - World Bank region,,1997,23074,969,9252,8151
East Asia & Pacific - World Bank region,,1998,23064,991,9297,8120
East Asia & Pacific - World Bank region,,1999,22225,979,8977,7719
East Asia & Pacific - World Bank region,,2000,21478,976,8816,7449
East Asia & Pacific - World Bank region,,2001,18957,879,7814,6436
East Asia & Pacific - World Bank region,,2002,16118,755,6644,5212
East Asia & Pacific - World Bank region,,2003,12913,619,5317,3936
East Asia & Pacific - World Bank region,,2004,10757,531,4535,3166
East Asia & Pacific - World Bank region,,2005,9699,492,4107,2721
East Asia & Pacific - World Bank region,,2006,8873,463,3801,2426
East Asia & Pacific - World Bank region,,2007,8367,441,3633,2240
East Asia & Pacific - World Bank region,,2008,8095,440,3565,2132
East Asia & Pacific - World Bank region,,2009,7890,439,3534,2069
East Asia & Pacific - World Bank region,,2010,7774,444,3581,2054
East Asia & Pacific - World Bank region,,2011,7687,448,3575,2012
East Asia & Pacific - World Bank region,,2012,7529,452,3524,1942
East Asia & Pacific - World Bank region,,2013,7486,461,3540,1920
East Asia & Pacific - World Bank region,,2014,7544,479,3644,1949
East Asia & Pacific - World Bank region,,2015,7573,492,3699,1959
East Asia & Pacific - World Bank region,,2016,7710,516,3798,2012
East Asia & Pacific - World Bank region,,2017,8029,556,4037,2152
East Asia & Pacific - World Bank region,,2018,8724,603,4379,2372
East Asia & Pacific - World Bank region,,2019,9283,646,4676,2560
Eastern Europe,,1990,5056,199,486,214
Eastern Europe,,1991,5536,217,548,240
Eastern Europe,,1992,6322,245,675,296
Eastern Europe,,1993,7512,287,895,400
Eastern Europe,,1994,8292,310,1053,479
Eastern Europe,,1995,8350,297,1062,481
Eastern Europe,,1996,8204,273,999,450
Eastern Europe,,1997,8067,254,933,425
Eastern Europe,,1998,8327,252,949,449
Eastern Europe,,1999,9259,278,1113,560
Eastern Europe,,2000,10014,300,1227,638
Eastern Europe,,2001,9820,295,1200,608
Eastern Europe,,2002,9729,296,1199,597
Eastern Europe,,2003,10134,312,1284,654
Eastern Europe,,2004,10646,332,1388,726
Eastern Europe,,2005,11851,380,1654,909
Eastern Europe,,2006,11809,381,1600,894
Eastern Europe,,2007,11550,384,1560,868
Eastern Europe,,2008,11356,392,1560,854
Eastern Europe,,2009,10247,353,1386,722
Eastern Europe,,2010,9934,345,1373,701
Eastern Europe,,2011,9117,320,1240,614
Eastern Europe,,2012,8811,312,1209,589
Eastern Europe,,2013,8560,305,1195,565
Eastern Europe,,2014,8275,299,1193,544
Eastern Europe,,2015,7802,282,1129,485
Eastern Europe,,2016,7238,257,1028,414
Eastern Europe,,2017,6705,235,943,362
Eastern Europe,,2018,6602,230,922,348
Eastern Europe,,2019,6493,227,908,338
Eastern Mediterranean Region,,1990,1527,102,347,65
Eastern Mediterranean Region,,1991,1617,109,369,69
Eastern Mediterranean Region,,1992,1726,116,395,74
Eastern Mediterranean Region,,1993,1850,126,428,80
Eastern Mediterranean Region,,1994,1978,137,459,86
Eastern Mediterranean Region,,1995,2125,148,497,94
Eastern Mediterranean Region,,1996,2295,163,541,103
Eastern Mediterranean Region,,1997,2474,179,586,112
Eastern Mediterranean Region,,1998,2660,195,633,122
Eastern Mediterranean Region,,1999,2854,213,678,132
Eastern Mediterranean Region,,2000,3083,234,740,144
Eastern Mediterranean Region,,2001,3315,257,811,156
Eastern Mediterranean Region,,2002,3552,282,874,168
Eastern Mediterranean Region,,2003,3803,309,941,182
Eastern Mediterranean Region,,2004,4066,340,1015,198
Eastern Mediterranean Region,,2005,4268,366,1081,212
Eastern Mediterranean Region,,2006,4469,394,1145,226
Eastern Mediterranean Region,,2007,4731,427,1224,243
Eastern Mediterranean Region,,2008,4940,457,1286,258
Eastern Mediterranean Region,,2009,5036,476,1318,265
Eastern Mediterranean Region,,2010,5082,490,1337,271
Eastern Mediterranean Region,,2011,5070,498,1345,275
Eastern Mediterranean Region,,2012,5030,499,1346,274
Eastern Mediterranean Region,,2013,4962,495,1341,272
Eastern Mediterranean Region,,2014,4961,498,1361,274
Eastern Mediterranean Region,,2015,4936,499,1379,275
Eastern Mediterranean Region,,2016,4967,507,1416,280
Eastern Mediterranean Region,,2017,5037,518,1464,288
Eastern Mediterranean Region,,2018,5134,534,1520,298
Eastern Mediterranean Region,,2019,5216,549,1572,308
Eastern sub-Saharan Africa,,1990,193,11,74,4
Eastern sub-Saharan Africa,,1991,200,11,77,4
Eastern sub-Saharan Africa,,1992,208,12,80,4
Eastern sub-Saharan Africa,,1993,216,12,84,4
Eastern sub-Saharan Africa,,1994,222,13,86,5
Eastern sub-Saharan Africa,,1995,229,13,90,5
Eastern sub-Saharan Africa,,1996,235,14,92,5
Eastern sub-Saharan Africa,,1997,242,14,95,5
Eastern sub-Saharan Africa,,1998,251,15,100,5
Eastern sub-Saharan Africa,,1999,257,15,102,6
Eastern sub-Saharan Africa,,2000,263,15,102,6
Eastern sub-Saharan Africa,,2001,268,16,100,6
Eastern sub-Saharan Africa,,2002,280,17,100,7
Eastern sub-Saharan Africa,,2003,293,18,102,7
Eastern sub-Saharan Africa,,2004,307,19,104,8
Eastern sub-Saharan Africa,,2005,322,20,107,8
Eastern sub-Saharan Africa,,2006,338,21,110,9
Eastern sub-Saharan Africa,,2007,359,23,114,9
Eastern sub-Saharan Africa,,2008,385,25,121,10
Eastern sub-Saharan Africa,,2009,419,27,130,11
Eastern sub-Saharan Africa,,2010,430,28,133,12
Eastern sub-Saharan Africa,,2011,452,30,139,13
Eastern sub-Saharan Africa,,2012,468,32,143,13
Eastern sub-Saharan Africa,,2013,491,34,150,14
Eastern sub-Saharan Africa,,2014,514,35,156,15
Eastern sub-Saharan Africa,,2015,534,37,162,16
Eastern sub-Saharan Africa,,2016,563,40,171,17
Eastern sub-Saharan Africa,,2017,593,42,180,18
Eastern sub-Saharan Africa,,2018,624,45,191,19
Eastern sub-Saharan Africa,,2019,653,47,199,20
Ecuador,ECU,1990,7,10,7,1
Ecuador,ECU,1991,8,11,8,1
Ecuador,ECU,1992,8,12,8,1
Ecuador,ECU,1993,8,12,8,2
Ecuador,ECU,1994,9,12,9,2
Ecuador,ECU,1995,9,13,9,2
Ecuador,ECU,1996,10,14,9,2
Ecuador,ECU,1997,10,14,10,2
Ecuador,ECU,1998,10,14,11,2
Ecuador,ECU,1999,10,13,10,2
Ecuador,ECU,2000,9,12,10,2
Ecuador,ECU,2001,9,12,9,2
Ecuador,ECU,2002,10,14,11,2
Ecuador,ECU,2003,11,15,11,2
Ecuador,ECU,2004,11,15,11,2
Ecuador,ECU,2005,11,17,12,2
Ecuador,ECU,2006,11,17,12,2
Ecuador,ECU,2007,11,17,12,2
Ecuador,ECU,2008,12,19,13,3
Ecuador,ECU,2009,12,20,13,3
Ecuador,ECU,2010,13,20,13,3
Ecuador,ECU,2011,13,21,13,3
Ecuador,ECU,2012,13,21,13,3
Ecuador,ECU,2013,13,22,14,3
Ecuador,ECU,2014,13,22,13,3
Ecuador,ECU,2015,14,23,13,3
Ecuador,ECU,2016,16,25,14,4
Ecuador,ECU,2017,16,27,14,4
Ecuador,ECU,2018,17,28,15,4
Ecuador,ECU,2019,17,29,16,4
Egypt,EGY,1990,17,1,5,1
Egypt,EGY,1991,17,1,4,1
Egypt,EGY,1992,17,1,5,1
Egypt,EGY,1993,19,1,5,1
Egypt,EGY,1994,20,1,6,1
Egypt,EGY,1995,20,1,6,1
Egypt,EGY,1996,21,2,6,1
Egypt,EGY,1997,22,2,6,1
Egypt,EGY,1998,23,2,6,1
Egypt,EGY,1999,24,2,7,1
Egypt,EGY,2000,24,2,7,1
Egypt,EGY,2001,26,2,7,1
Egypt,EGY,2002,27,2,8,1
Egypt,EGY,2003,28,2,8,1
Egypt,EGY,2004,29,2,8,1
Egypt,EGY,2005,29,2,9,2
Egypt,EGY,2006,31,3,9,2
Egypt,EGY,2007,31,3,9,2
Egypt,EGY,2008,33,3,9,2
Egypt,EGY,2009,35,3,10,2
Egypt,EGY,2010,37,3,11,2
Egypt,EGY,2011,40,4,12,2
Egypt,EGY,2012,42,4,13,2
Egypt,EGY,2013,42,4,13,3
Egypt,EGY,2014,43,4,13,3
Egypt,EGY,2015,46,5,15,3
Egypt,EGY,2016,48,5,16,3
Egypt,EGY,2017,50,5,17,3
Egypt,EGY,2018,52,5,18,3
Egypt,EGY,2019,54,6,19,4
El Salvador,SLV,1990,3,2,2,0
El Salvador,SLV,1991,3,2,2,0
El Salvador,SLV,1992,3,3,2,0
El Salvador,SLV,1993,3,3,2,0
El Salvador,SLV,1994,3,3,3,0
El Salvador,SLV,1995,3,3,3,0
El Salvador,SLV,1996,3,3,3,0
El Salvador,SLV,1997,4,4,3,1
El Salvador,SLV,1998,3,3,3,0
El Salvador,SLV,1999,3,3,2,0
El Salvador,SLV,2000,2,2,2,0
El Salvador,SLV,2001,3,2,2,0
El Salvador,SLV,2002,2,2,2,0
El Salvador,SLV,2003,2,2,2,0
El Salvador,SLV,2004,3,2,2,0
El Salvador,SLV,2005,3,2,2,0
El Salvador,SLV,2006,3,2,2,0
El Salvador,SLV,2007,3,2,2,0
El Salvador,SLV,2008,3,2,2,0
El Salvador,SLV,2009,3,2,2,0
El Salvador,SLV,2010,3,2,2,0
El Salvador,SLV,2011,3,2,2,0
El Salvador,SLV,2012,3,2,2,0
El Salvador,SLV,2013,3,2,2,0
El Salvador,SLV,2014,4,3,3,0
El Salvador,SLV,2015,4,3,3,0
El Salvador,SLV,2016,4,3,3,0
El Salvador,SLV,2017,4,3,3,0
El Salvador,SLV,2018,4,3,3,0
El Salvador,SLV,2019,4,3,3,1
England,,1990,472,27,197,41
England,,1991,504,27,199,41
England,,1992,554,27,195,41
England,,1993,619,25,179,39
England,,1994,699,25,176,39
England,,1995,778,25,182,42
England,,1996,882,27,186,43
England,,1997,1004,29,193,47
England,,1998,1138,35,207,53
England,,1999,1254,40,213,58
England,,2000,1292,45,207,60
England,,2001,1305,53,213,69
England,,2002,1282,58,214,74
England,,2003,1264,63,214,77
England,,2004,1275,67,214,80
England,,2005,1297,73,220,85
England,,2006,1340,81,237,93
England,,2007,1394,88,250,99
England,,2008,1444,93,268,105
England,,2009,1432,92,274,105
England,,2010,1404,90,273,102
England,,2011,1359,87,272,100
England,,2012,1352,87,274,97
England,,2013,1406,90,294,102
England,,2014,1456,94,308,105
England,,2015,1505,96,321,108
England,,2016,1525,98,328,110
England,,2017,1513,95,325,107
England,,2018,1442,91,314,103
England,,2019,1414,89,309,101
Equatorial Guinea,GNQ,1990,1,0,0,0
Equatorial Guinea,GNQ,1991,1,0,0,0
Equatorial Guinea,GNQ,1992,1,0,0,0
Equatorial Guinea,GNQ,1993,1,0,0,0
Equatorial Guinea,GNQ,1994,1,0,0,0
Equatorial Guinea,GNQ,1995,1,0,0,0
Equatorial Guinea,GNQ,1996,1,0,0,0
Equatorial Guinea,GNQ,1997,1,0,0,0
Equatorial Guinea,GNQ,1998,1,0,0,0
Equatorial Guinea,GNQ,1999,1,0,0,0
Equatorial Guinea,GNQ,2000,1,0,0,0
Equatorial Guinea,GNQ,2001,1,0,0,0
Equatorial Guinea,GNQ,2002,1,0,0,0
Equatorial Guinea,GNQ,2003,1,0,0,0
Equatorial Guinea,GNQ,2004,1,0,0,0
Equatorial Guinea,GNQ,2005,1,0,0,0
Equatorial Guinea,GNQ,2006,1,0,0,0
Equatorial Guinea,GNQ,2007,1,0,0,0
Equatorial Guinea,GNQ,2008,1,0,0,0
Equatorial Guinea,GNQ,2009,1,0,1,0
Equatorial Guinea,GNQ,2010,1,0,1,0
Equatorial Guinea,GNQ,2011,1,0,1,0
Equatorial Guinea,GNQ,2012,2,0,1,0
Equatorial Guinea,GNQ,2013,2,0,1,0
Equatorial Guinea,GNQ,2014,2,0,1,0
Equatorial Guinea,GNQ,2015,2,0,1,0
Equatorial Guinea,GNQ,2016,2,0,1,0
Equatorial Guinea,GNQ,2017,2,0,1,0
Equatorial Guinea,GNQ,2018,2,0,1,0
Equatorial Guinea,GNQ,2019,3,0,1,0
Eritrea,ERI,1990,2,0,1,0
Eritrea,ERI,1991,2,0,1,0
Eritrea,ERI,1992,2,0,1,0
Eritrea,ERI,1993,2,0,1,0
Eritrea,ERI,1994,3,0,1,0
Eritrea,ERI,1995,3,0,2,0
Eritrea,ERI,1996,3,0,2,0
Eritrea,ERI,1997,3,0,2,0
Eritrea,ERI,1998,4,0,2,0
Eritrea,ERI,1999,4,0,2,0
Eritrea,ERI,2000,4,0,2,0
Eritrea,ERI,2001,4,0,2,0
Eritrea,ERI,2002,5,0,2,0
Eritrea,ERI,2003,5,0,2,0
Eritrea,ERI,2004,5,0,2,0
Eritrea,ERI,2005,6,0,2,0
Eritrea,ERI,2006,6,0,3,0
Eritrea,ERI,2007,6,0,3,0
Eritrea,ERI,2008,7,0,3,0
Eritrea,ERI,2009,7,1,3,0
Eritrea,ERI,2010,7,1,3,0
Eritrea,ERI,2011,7,1,3,0
Eritrea,ERI,2012,8,1,3,0
Eritrea,ERI,2013,8,1,3,0
Eritrea,ERI,2014,9,1,3,0
Eritrea,ERI,2015,9,1,3,0
Eritrea,ERI,2016,9,1,3,0
Eritrea,ERI,2017,10,1,4,0
Eritrea,ERI,2018,10,1,4,0
Eritrea,ERI,2019,11,1,4,0
Estonia,EST,1990,19,1,2,1
Estonia,EST,1991,20,1,3,1
Estonia,EST,1992,20,1,3,1
Estonia,EST,1993,22,1,3,1
Estonia,EST,1994,24,1,3,2
Estonia,EST,1995,24,1,4,2
Estonia,EST,1996,23,1,3,1
Estonia,EST,1997,25,1,3,2
Estonia,EST,1998,29,1,4,2
Estonia,EST,1999,33,1,4,2
Estonia,EST,2000,37,1,5,3
Estonia,EST,2001,44,2,6,4
Estonia,EST,2002,52,2,7,4
Estonia,EST,2003,52,2,7,4
Estonia,EST,2004,61,2,8,5
Estonia,EST,2005,61,2,9,5
Estonia,EST,2006,67,3,10,6
Estonia,EST,2007,78,3,12,8
Estonia,EST,2008,80,3,11,7
Estonia,EST,2009,87,3,11,7
Estonia,EST,2010,86,3,10,7
Estonia,EST,2011,94,3,11,7
Estonia,EST,2012,102,3,12,8
Estonia,EST,2013,93,3,10,7
Estonia,EST,2014,93,3,10,7
Estonia,EST,2015,90,3,10,6
Estonia,EST,2016,96,3,10,6
Estonia,EST,2017,101,4,11,7
Estonia,EST,2018,103,4,11,8
Estonia,EST,2019,105,4,11,8
Eswatini,SWZ,1990,1,0,0,0
Eswatini,SWZ,1991,1,0,1,0
Eswatini,SWZ,1992,1,0,1,0
Eswatini,SWZ,1993,1,0,1,0
Eswatini,SWZ,1994,1,0,1,0
Eswatini,SWZ,1995,1,0,1,0
Eswatini,SWZ,1996,1,0,1,0
Eswatini,SWZ,1997,1,0,1,0
Eswatini,SWZ,1998,2,0,1,0
Eswatini,SWZ,1999,2,0,1,0
Eswatini,SWZ,2000,2,0,1,0
Eswatini,SWZ,2001,2,0,1,0
Eswatini,SWZ,2002,2,0,1,0
Eswatini,SWZ,2003,2,0,1,0
Eswatini,SWZ,2004,2,0,1,0
Eswatini,SWZ,2005,2,0,1,0
Eswatini,SWZ,2006,2,0,1,0
Eswatini,SWZ,2007,2,0,1,0
Eswatini,SWZ,2008,2,0,1,0
Eswatini,SWZ,2009,2,0,1,0
Eswatini,SWZ,2010,2,0,1,0
Eswatini,SWZ,2011,2,0,1,0
Eswatini,SWZ,2012,2,0,1,0
Eswatini,SWZ,2013,2,0,1,0
Eswatini,SWZ,2014,2,0,1,0
Eswatini,SWZ,2015,2,0,1,0
Eswatini,SWZ,2016,2,0,1,0
Eswatini,SWZ,2017,2,0,1,0
Eswatini,SWZ,2018,2,0,1,0
Eswatini,SWZ,2019,2,0,1,0
Ethiopia,ETH,1990,81,4,29,1
Ethiopia,ETH,1991,83,4,30,2
Ethiopia,ETH,1992,86,4,31,2
Ethiopia,ETH,1993,89,5,32,2
Ethiopia,ETH,1994,90,5,32,2
Ethiopia,ETH,1995,92,5,33,2
Ethiopia,ETH,1996,92,5,32,2
Ethiopia,ETH,1997,92,5,32,2
Ethiopia,ETH,1998,94,5,32,2
Ethiopia,ETH,1999,95,5,32,2
Ethiopia,ETH,2000,93,4,30,2
Ethiopia,ETH,2001,91,4,28,2
Ethiopia,ETH,2002,92,4,27,2
Ethiopia,ETH,2003,93,4,26,2
Ethiopia,ETH,2004,95,5,26,2
Ethiopia,ETH,2005,98,5,26,2
Ethiopia,ETH,2006,100,5,26,2
Ethiopia,ETH,2007,105,5,27,2
Ethiopia,ETH,2008,111,5,28,2
Ethiopia,ETH,2009,123,6,31,2
Ethiopia,ETH,2010,114,6,28,2
Ethiopia,ETH,2011,118,6,29,2
Ethiopia,ETH,2012,116,6,29,2
Ethiopia,ETH,2013,120,6,30,2
Ethiopia,ETH,2014,126,6,31,2
Ethiopia,ETH,2015,129,7,32,3
Ethiopia,ETH,2016,138,7,34,3
Ethiopia,ETH,2017,147,8,37,3
Ethiopia,ETH,2018,155,8,39,3
Ethiopia,ETH,2019,164,9,41,3
Europe,,1990,9823,358,1271,426
Europe,,1991,10920,389,1400,472
Europe,,1992,12142,425,1554,536
Europe,,1993,13633,469,1780,642
Europe,,1994,14772,499,1959,730
Europe,,1995,15137,493,1990,738
Europe,,1996,15219,475,1959,717
Europe,,1997,15247,468,1932,704
Europe,,1998,15667,489,1995,752
Europe,,1999,16805,536,2212,885
Europe,,2000,17677,582,2379,985
Europe,,2001,17395,595,2400,976
Europe,,2002,17078,607,2430,979
Europe,,2003,17363,634,2542,1049
Europe,,2004,17817,663,2656,1127
Europe,,2005,19076,726,2953,1323
Europe,,2006,19089,739,2942,1326
Europe,,2007,18984,761,2957,1322
Europe,,2008,18987,784,3011,1330
Europe,,2009,17918,747,2864,1206
Europe,,2010,17537,735,2852,1182
Europe,,2011,16630,705,2726,1096
Europe,,2012,16316,697,2700,1072
Europe,,2013,16151,699,2722,1060
Europe,,2014,15986,703,2749,1051
Europe,,2015,15744,701,2749,1023
Europe,,2016,15320,689,2673,959
Europe,,2017,14883,672,2607,918
Europe,,2018,14903,674,2613,919
Europe,,2019,14942,680,2630,925
Europe & Central Asia - World Bank region,,1990,10020,385,1306,440
Europe & Central Asia - World Bank region,,1991,11143,419,1441,489
Europe & Central Asia - World Bank region,,1992,12389,458,1601,555
Europe & Central Asia - World Bank region,,1993,13912,506,1835,665
Europe & Central Asia - World Bank region,,1994,15083,538,2023,756
Europe & Central Asia - World Bank region,,1995,15478,533,2064,767
Europe & Central Asia - World Bank region,,1996,15589,516,2040,748
Europe & Central Asia - World Bank region,,1997,15645,509,2017,737
Europe & Central Asia - World Bank region,,1998,16097,532,2086,786
Europe & Central Asia - World Bank region,,1999,17275,580,2310,922
Europe & Central Asia - World Bank region,,2000,18191,629,2490,1026
Europe & Central Asia - World Bank region,,2001,17920,644,2513,1018
Europe & Central Asia - World Bank region,,2002,17608,657,2545,1022
Europe & Central Asia - World Bank region,,2003,17918,689,2665,1095
Europe & Central Asia - World Bank region,,2004,18439,727,2799,1182
Europe & Central Asia - World Bank region,,2005,19746,799,3112,1386
Europe & Central Asia - World Bank region,,2006,19777,816,3107,1393
Europe & Central Asia - World Bank region,,2007,19668,841,3119,1391
Europe & Central Asia - World Bank region,,2008,19651,864,3159,1394
Europe & Central Asia - World Bank region,,2009,18560,826,2996,1265
Europe & Central Asia - World Bank region,,2010,18161,814,2978,1240
Europe & Central Asia - World Bank region,,2011,17242,785,2849,1152
Europe & Central Asia - World Bank region,,2012,16925,779,2820,1128
Europe & Central Asia - World Bank region,,2013,16762,783,2838,1115
